ip_host,snmp,mac-address,hostname
172.16.0.0,,,
172.16.0.1,,08:00:27:73:f7:05,www.mail.rud.ua
172.16.0.2,,,admin.rud.ua
172.16.0.3,,94:de:80:0e:15:c0,it2.rud.ua
172.16.0.4,,84:a9:3e:12:34:33,vadimnote.rud.ua
172.16.0.5,,00:0c:29:be:e0:c0,WS0
172.16.0.6,,00:1f:c6:b7:17:a7,ws59.rud.ua
172.16.0.7,,,it5.rud.ua
172.16.0.8,,,
172.16.0.9,,00:0c:29:75:a2:f0,
172.16.0.10,,04:d4:c4:25:b2:d8,root.rud.ua
172.16.0.11,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:6d:11:a4,
172.16.0.12,,18:31:bf:c7:a7:24,sekretar.rud.ua
172.16.0.13,,70:4d:7b:89:4d:6b,ROOT13.RUD.UA
172.16.0.14,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:7c:a3:93,KM7CA393
172.16.0.15,,,
172.16.0.16,,d4:5d:64:3c:d6:b3,ws104.rud.ua
172.16.0.17,SNMPv2-MIB::sysDescr.0 = Print Server,00:0d:ac:31:09:de,
172.16.0.18,,,soft2.rud.ua
172.16.0.19,,00:50:56:32:45:c7,soft1.rud.ua
172.16.0.20,,,
172.16.0.21,,00:50:56:32:45:c7,zabbix.rud.ua
172.16.0.22,,,eko.rud.ua
172.16.0.23,,,
172.16.0.24,,,wp23.rud.ua
172.16.0.25,,00:0c:29:fa:0a:96,
172.16.0.26,,4c:ed:fb:74:95:4e,smaster.rud.ua
172.16.0.27,,04:d4:c4:8d:4b:63,ws72.rud.ua
172.16.0.28,,,
172.16.0.29,,,
172.16.0.30,,,ws64.rud.ua
172.16.0.31,,50:46:5d:a4:bd:7d,buh1.rud.ua
172.16.0.32,,,
172.16.0.33,,,holod2.rud.ua
172.16.0.34,,f0:de:f1:c0:67:37,kompressor-note.rud.ua
172.16.0.35,,,garderob.rud.ua
172.16.0.36,,,baza3.rud.ua
172.16.0.37,,bc:ae:c5:97:58:60,ws50.rud.ua
172.16.0.38,,48:5b:39:cf:90:8e,rada2.rud.ua
172.16.0.39,,18:31:bf:c7:93:8d,sekretar2.rud.ua
172.16.0.40,,,
172.16.0.41,,bc:ee:7b:df:33:46,ws4.rud.ua
172.16.0.42,,,
172.16.0.43,,,sbyt4.rud.ua
172.16.0.44,,,diana2.rud.ua
172.16.0.45,,,
172.16.0.46,,,root13.rud.ua
172.16.0.47,,,
172.16.0.48,,3c:97:0e:0e:8b:71,nachlab.rud.ua
172.16.0.49,,20:cf:30:e8:c5:b6,laboratory3.rud.ua
172.16.0.50,,f0:79:59:5a:cf:d8,buh2.rud.ua
172.16.0.51,,,
172.16.0.52,,,checktest
172.16.0.53,,ac:22:0b:79:b3:74,ws1.rud.ua
172.16.0.54,,,wp3.rud.ua
172.16.0.55,,00:0c:29:1a:0d:26,qapp.rud.ua
172.16.0.56,,00:0c:29:31:68:c1,qdb.rud.ua
172.16.0.57,,,wp14.rud.ua
172.16.0.58,,,
172.16.0.59,,70:8b:cd:59:50:26,camera.rud.ua
172.16.0.60,,,
172.16.0.61,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:40:1d:bf,pr2.rud.ua
172.16.0.62,,,
172.16.0.63,,,
172.16.0.64,,bc:ae:c5:bd:89:14,nachplan.rud.ua
172.16.0.65,,,dev1.rud.ua
172.16.0.66,,1c:6f:65:7b:db:53,dispetcher-server.rud.ua
172.16.0.67,SNMPv2-MIB::sysDescr.0 = OKI OkiLAN 8500e Rev.01.16 10/100BASE Ethernet PrintServer: Attached to MB461 Rev.01.34 : Copyright (c) 2011 Oki Data Corporation. All rights reserved.,00:25:36:a6:4b:7e,pr3.rud.ua
172.16.0.68,SNMPv2-MIB::sysDescr.0 = KYOCERA MITA Printing System,00:c0:ee:9e:d2:b8,pr4.rud.ua
172.16.0.69,,,
172.16.0.70,,,bbb.rud.ua
172.16.0.71,,34:1a:4c:10:3c:44,ws55.rud.ua
172.16.0.72,,,
172.16.0.73,,00:22:4d:98:d6:d2,to1.rud.ua
172.16.0.74,,,
172.16.0.75,,,
172.16.0.76,,04:92:26:3e:38:e7,rada.rud.ua
172.16.0.77,,,vadimnote.rud.ua
172.16.0.78,,f4:6d:04:9b:75:b7,vadim.rud.ua
172.16.0.79,,90:2b:34:9a:12:c8,masterx.rud.ua
172.16.0.80,,54:a0:50:7c:ad:7a,ws116.rud.ua
172.16.0.81,,54:04:a6:ed:c2:39,ws57.rud.ua
172.16.0.82,SNMPv2-MIB::sysDescr.0 = OKI OkiLAN 8500e Rev.01.16 10/100BASE Ethernet PrintServer: Attached to MB461 Rev.01.34 : Copyright (c) 2011 Oki Data Corporation. All rights reserved.,00:25:36:a6:4b:be,wp5.rud.ua
172.16.0.83,,d0:17:c2:5d:06:3c,vivsyk.rud.ua
172.16.0.84,,,tab2.rud.ua
172.16.0.85,,08:00:27:6d:04:4c,proxy.rud.ua
