location,model,InventoryNumber,TonerModel,TonerType,TonerLevel,CartridgeMaxCapacity,PrintsBlack,PrintsColor,ip_host,time
Base Operators,ECOSYS P3055dn,KM6D11A4,TK-3190,black,22500,25000,881072,,http://172.16.0.11/ipp,19082021151422
Technologists,ECOSYS M2040dn,KM7CA393,TK-1170,black,432,7200,37595,,http://172.16.0.14/ipp,19082021151423
Nach Morozivo,Brother DCP-L5500DN series,,Black Toner Cartridge,black,-3,-2,102311,,http://BRN3C2AF42EF826:631/ipp,19082021151424
ASKV,ECOSYS M2040dn,ASKV,TK-1170S,black,252,3600,2557,,http://172.16.0.154/ipp,19082021151424
1 Poverh,FS-6970DN,KM7F5872,TK-450,,900,15000,109350,,http://172.16.0.146/ipp,19082021151425
Zhanna,ECOSYS M2035dn,KM15B4BA,TK-1140,black,2880,7200,314946,,http://172.16.0.213/ipp,19082021151425
Ecologi,ECOSYS M2040dn,MZ16836,TK-1170S,black,216,3600,3627,,http://172.16.0.253/ipp,19082021151425
Baza operator left,FS-4200DN,KM11C305,TK-3130,,8500,25000,862808,,http://172.16.0.214/ipp,19082021151426
Nach Kislomilk,ECOSYS M2035dn,KM13A26C,TK-1140,black,1728,7200,124884,,http://172.16.1.13/ipp,19082021151426
Vitya,ECOSYS M2035dn,KM3CD56E,TK-1140,black,6336,7200,294112,,http://172.16.1.9/ipp,19082021151427
BUH,ECOSYS M2040dn,KM97CDC5,TK-1170,black,3240,7200,123662,,http://172.16.1.41/ipp,19082021151427
Kadri,ECOSYS M2040dn,OZT15210,TK-1170,black,3384,7200,57873,,http://172.16.1.66/ipp,19082021151428
Dispecher,ECOSYS M2035dn,KM20C423,TK-1140,black,2448,7200,190436,,http://172.16.1.85/ipp,19082021151428
Transportny,ECOSYS M2040dn,KMB95FBB,TK-1170S,black,3204,3600,326,,http://172.16.1.68/ipp,19082021151428
Nach Yurist,ECOSYS M2035dn,KM2215FE,TK-1140,black,1368,7200,60952,,http://172.16.1.105/ipp,19082021151429
Logist,ECOSYS M2035dn,KM229973,TK-1140,black,6120,7200,167469,,http://172.16.1.104/ipp,19082021151429
Baza operator MFU,ECOSYS M2035dn,KM3E4ACA,TK-1140,black,2880,7200,223484,,http://172.16.1.107/ipp,19082021151429
Nachlab,ECOSYS M2035dn,KM16721D,TK-1140,black,4464,7200,54249,,http://172.16.1.119/ipp,19082021151430
Sklad Vasya,ECOSYS M2040dn,KMA0B8C4,TK-1170,black,2808,7200,17928,,http://172.16.1.94/ipp,19082021151430
Morozivo Maystri,ECOSYS M2040dn,KMB7AB94,TK-1170,black,792,7200,10341,,http://172.16.1.132/ipp,19082021151430
Zeh Varka,ECOSYS M2035dn,KM39B83E,TK-1140,black,4032,7200,667985,,http://172.16.1.106/ipp,19082021151430
Rezerv,ECOSYS P2040dn,KMB56C8D,TK-1160,black,6480,7200,11548,,http://172.16.1.89/ipp,19082021151430
Morozivo maystri,ECOSYS M2035dn,KM3EF436,TK-1140,black,6552,7200,100861,,http://172.16.1.151/ipp,19082021151431
Paletuvanja,ECOSYS P2040dn,KM304515,TK-1160,black,1152,7200,48874,,http://172.16.1.159/ipp,19082021151431
Baza rampa,ECOSYS M2040dn,KM98FEAC,TK-1170,black,3168,7200,55047,,http://172.16.1.169/ipp,19082021151431
Kislomilk camera,FS-1035MFP,KM9EBB7A,TK-1140,,4608,7200,402839,,http://172.16.1.165/ipp,19082021151431
Baza maslo,ECOSYS M2040dn,KM322BD2,TK-1170,black,2592,7200,242223,,http://172.16.1.184/ipp,19082021151431
Yakisty,ECOSYS M2540dn,KM347985,TK-1170,black,4392,7200,50151,,http://172.16.1.192/ipp,19082021151431
Bakun,ECOSYS M2035dn,KM3894B9,TK-1140,black,5256,7200,103532,,http://172.16.1.232/ipp,19082021151431
Yurist,ECOSYS M2040dn,KM386B04,TK-1170,black,4032,7200,46823,,http://172.16.1.237/ipp,19082021151432
Secretaries,ECOSYS M6230cidn,KM8F2023,TK-5270C,cyan,360,6000,36283,26494,http://172.16.0.115/ipp,19082021151423
Secretaries,ECOSYS M6230cidn,KM8F2023,TK-5270M,magenta,660,6000,36283,26494,http://172.16.0.115/ipp,19082021151429
Secretaries,ECOSYS M6230cidn,KM8F2023,TK-5270Y,yellow,5460,6000,36283,26494,http://172.16.0.115/ipp,19082021151432
Secretaries,ECOSYS M6230cidn,KM8F2023,TK-5270K,black,7840,6000,36283,26494,http://172.16.0.115/ipp,19082021151433
Komerce,ECOSYS M6030cdn,KM5A2ADF,TK-5140C,cyan,3300,5000,100438,62550,http://172.16.1.21/ipp,19082021151425
Komerce,ECOSYS M6030cdn,KM5A2ADF,TK-5140M,magenta,1600,5000,100438,62550,http://172.16.1.21/ipp,19082021151431
Komerce,ECOSYS M6030cdn,KM5A2ADF,TK-5140Y,yellow,1600,5000,100438,62550,http://172.16.1.21/ipp,19082021151432
Komerce,ECOSYS M6030cdn,KM5A2ADF,TK-5140K,black,420,5000,100438,62550,http://172.16.1.21/ipp,19082021151434
RnD,ECOSYS M6230cidn,KM92999D,TK-5270C,cyan,4560,6000,16038,10714,http://172.16.0.127/ipp,19082021151424
RnD,ECOSYS M6230cidn,KM92999D,TK-5270M,magenta,5820,6000,16038,10714,http://172.16.0.127/ipp,19082021151430
RnD,ECOSYS M6230cidn,KM92999D,TK-5270Y,yellow,3540,6000,16038,10714,http://172.16.0.127/ipp,19082021151432
RnD,ECOSYS M6230cidn,KM92999D,TK-5270K,black,480,6000,16038,10714,http://172.16.0.127/ipp,19082021151434
Komnata peregovorov,ECOSYS M6030cdn,KM01A4AC,TK-5140C,cyan,4300,5000,161244,106956,http://172.16.1.162/ipp,19082021151431
Komnata peregovorov,ECOSYS M6030cdn,KM01A4AC,TK-5140M,magenta,4900,5000,161244,106956,http://172.16.1.162/ipp,19082021151433
Komnata peregovorov,ECOSYS M6030cdn,KM01A4AC,TK-5140Y,yellow,1750,5000,161244,106956,http://172.16.1.162/ipp,19082021151434
Komnata peregovorov,ECOSYS M6030cdn,KM01A4AC,TK-5140K,black,3290,5000,161244,106956,http://172.16.1.162/ipp,19082021151435
Marketing,ECOSYS M6230cidn,OC200219,TK-5270C,cyan,3060,6000,35444,29581,http://172.16.1.229/ipp,19082021151431
Marketing,ECOSYS M6230cidn,OC200219,TK-5270M,magenta,1560,6000,35444,29581,http://172.16.1.229/ipp,19082021151433
Marketing,ECOSYS M6230cidn,OC200219,TK-5270Y,yellow,4740,6000,35444,29581,http://172.16.1.229/ipp,19082021151434
Marketing,ECOSYS M6230cidn,OC200219,TK-5270K,black,5840,6000,35444,29581,http://172.16.1.229/ipp,19082021151436
Tehotdel,TASKalfa 2551ci,KM267BB4,TK-8325C,cyan,8280,12000,60788,20274,http://172.16.1.156/ipp,19082021151431
Tehotdel,TASKalfa 2551ci,KM267BB4,TK-8325M,magenta,600,12000,60788,20274,http://172.16.1.156/ipp,19082021151433
Tehotdel,TASKalfa 2551ci,KM267BB4,TK-8325Y,yellow,600,12000,60788,20274,http://172.16.1.156/ipp,19082021151435
Tehotdel,TASKalfa 2551ci,KM267BB4,TK-8325K,black,900,12000,60788,20274,http://172.16.1.156/ipp,19082021151436
Base Operators,ECOSYS P3055dn,KM6D11A4,TK-3190,black,22500,25000,881075,,http://172.16.0.11/ipp,19082021152043
Nach Morozivo,Brother DCP-L5500DN series,,Black Toner Cartridge,black,-3,-2,102311,,http://BRN3C2AF42EF826:631/ipp,19082021152044
1 Poverh,FS-6970DN,KM7F5872,TK-450,,900,15000,109350,,http://172.16.0.146/ipp,19082021152044
Technologists,ECOSYS M2040dn,KM7CA393,TK-1170,black,432,7200,37595,,http://172.16.0.14/ipp,19082021152045
Ecologi,ECOSYS M2040dn,MZ16836,TK-1170S,black,216,3600,3627,,http://172.16.0.253/ipp,19082021152045
Baza operator right,FS-4200DN,KMB018BC,TK-3130,,1250,25000,2111297,,http://172.16.0.139/ipp,19082021152045
ASKV,ECOSYS M2040dn,ASKV,TK-1170S,black,252,3600,2557,,http://172.16.0.154/ipp,19082021152045
Baza operator left,FS-4200DN,KM11C305,TK-3130,,8500,25000,862808,,http://172.16.0.214/ipp,19082021152046
BUH,ECOSYS M2040dn,KM97CDC5,TK-1170,black,3240,7200,123663,,http://172.16.1.41/ipp,19082021152046
Kadri,ECOSYS M2040dn,OZT15210,TK-1170,black,3384,7200,57874,,http://172.16.1.66/ipp,19082021152047
Vitya,ECOSYS M2035dn,KM3CD56E,TK-1140,black,6336,7200,294112,,http://172.16.1.9/ipp,19082021152047
Zhanna,ECOSYS M2035dn,KM15B4BA,TK-1140,black,2880,7200,314946,,http://172.16.0.213/ipp,19082021152047
Dispecher,ECOSYS M2035dn,KM20C423,TK-1140,black,2448,7200,190436,,http://172.16.1.85/ipp,19082021152048
Nach Kislomilk,ECOSYS M2035dn,KM13A26C,TK-1140,black,1728,7200,124884,,http://172.16.1.13/ipp,19082021152048
Logist,ECOSYS M2035dn,KM229973,TK-1140,black,6120,7200,167469,,http://172.16.1.104/ipp,19082021152049
Sklad Vasya,ECOSYS M2040dn,KMA0B8C4,TK-1170,black,2808,7200,17928,,http://172.16.1.94/ipp,19082021152049
Transportny,ECOSYS M2040dn,KMB95FBB,TK-1170S,black,3204,3600,326,,http://172.16.1.68/ipp,19082021152049
Rezerv,ECOSYS P2040dn,KMB56C8D,TK-1160,black,6480,7200,11549,,http://172.16.1.89/ipp,19082021152049
Baza operator MFU,ECOSYS M2035dn,KM3E4ACA,TK-1140,black,2880,7200,223484,,http://172.16.1.107/ipp,19082021152051
Nachlab,ECOSYS M2035dn,KM16721D,TK-1140,black,4464,7200,54249,,http://172.16.1.119/ipp,19082021152051
Paletuvanja,ECOSYS P2040dn,KM304515,TK-1160,black,1152,7200,48874,,http://172.16.1.159/ipp,19082021152051
Morozivo Maystri,ECOSYS M2040dn,KMB7AB94,TK-1170,black,792,7200,10341,,http://172.16.1.132/ipp,19082021152051
Baza rampa,ECOSYS M2040dn,KM98FEAC,TK-1170,black,3168,7200,55047,,http://172.16.1.169/ipp,19082021152051
Nach Yurist,ECOSYS M2035dn,KM2215FE,TK-1140,black,1368,7200,60952,,http://172.16.1.105/ipp,19082021152051
Morozivo maystri,ECOSYS M2035dn,KM3EF436,TK-1140,black,6552,7200,100861,,http://172.16.1.151/ipp,19082021152052
Yakisty,ECOSYS M2540dn,KM347985,TK-1170,black,4392,7200,50151,,http://172.16.1.192/ipp,19082021152052
Kislomilk camera,FS-1035MFP,KM9EBB7A,TK-1140,,4608,7200,402839,,http://172.16.1.165/ipp,19082021152052
Zeh Varka,ECOSYS M2035dn,KM39B83E,TK-1140,black,4032,7200,667985,,http://172.16.1.106/ipp,19082021152052
Baza maslo,ECOSYS M2040dn,KM322BD2,TK-1170,black,2592,7200,242223,,http://172.16.1.184/ipp,19082021152052
Yurist,ECOSYS M2040dn,KM386B04,TK-1170,black,4032,7200,46823,,http://172.16.1.237/ipp,19082021152052
Bakun,ECOSYS M2035dn,KM3894B9,TK-1140,black,5256,7200,103532,,http://172.16.1.232/ipp,19082021152052
RnD,ECOSYS M6230cidn,KM92999D,TK-5270C,cyan,4560,6000,16038,10714,http://172.16.0.127/ipp,19082021152044
RnD,ECOSYS M6230cidn,KM92999D,TK-5270M,magenta,5820,6000,16038,10714,http://172.16.0.127/ipp,19082021152050
RnD,ECOSYS M6230cidn,KM92999D,TK-5270Y,yellow,3540,6000,16038,10714,http://172.16.0.127/ipp,19082021152053
RnD,ECOSYS M6230cidn,KM92999D,TK-5270K,black,480,6000,16038,10714,http://172.16.0.127/ipp,19082021152055
Secretaries,ECOSYS M6230cidn,KM8F2023,TK-5270C,cyan,360,6000,36283,26494,http://172.16.0.115/ipp,19082021152045
Secretaries,ECOSYS M6230cidn,KM8F2023,TK-5270M,magenta,660,6000,36283,26494,http://172.16.0.115/ipp,19082021152051
Secretaries,ECOSYS M6230cidn,KM8F2023,TK-5270Y,yellow,5460,6000,36283,26494,http://172.16.0.115/ipp,19082021152053
Secretaries,ECOSYS M6230cidn,KM8F2023,TK-5270K,black,7840,6000,36283,26494,http://172.16.0.115/ipp,19082021152055
Komerce,ECOSYS M6030cdn,KM5A2ADF,TK-5140C,cyan,3300,5000,100438,62550,http://172.16.1.21/ipp,19082021152047
Komerce,ECOSYS M6030cdn,KM5A2ADF,TK-5140M,magenta,1600,5000,100438,62550,http://172.16.1.21/ipp,19082021152052
Komerce,ECOSYS M6030cdn,KM5A2ADF,TK-5140Y,yellow,1600,5000,100438,62550,http://172.16.1.21/ipp,19082021152054
Komerce,ECOSYS M6030cdn,KM5A2ADF,TK-5140K,black,420,5000,100438,62550,http://172.16.1.21/ipp,19082021152056
Komnata peregovorov,ECOSYS M6030cdn,KM01A4AC,TK-5140C,cyan,4300,5000,161244,106956,http://172.16.1.162/ipp,19082021152051
Komnata peregovorov,ECOSYS M6030cdn,KM01A4AC,TK-5140M,magenta,4900,5000,161244,106956,http://172.16.1.162/ipp,19082021152053
